   ,V_ID,HOST_EXT_ID,ADRTYP,LAT_PCMILER,LONG_PCMILER,LAT_GOOGLE,LONG_GOOGLE,ADRNAM,ADRLN1,ADRLN2,ADRLN3,ADRCTY,ADRSTC,ADRPSZ,CTRY_NAME,TIM_ZON_CD,GEOLOC_NAM
72,v_nodes,S-929,STR,0514409N,1212048W,51.7358333333,-121.3466666667,100 MILE HOUSE,157 NORTH CARIBOO HIGHWAY,,,100 MILE HOUSE,BC,V0K2E0,CAN,America/Los_Angeles,BC North
114,v_nodes,S-6613,STR,0533232N,1133031W,53.5422222222,-113.5086111111,9TH & JASPER,10180 - 109TH STREET,,,EDMONTON,AB,T5J5B4,CAN,America/Los_Angeles,AB North
51,v_nodes,S-904,STR,0490242N,1221616W,49.045,-122.2711111111,ABBOTSFORD,2140 SUMAS WAY,,,ABBOTSFORD,BC,V2S2C7,CAN,America/Los_Angeles,BC Lower Mainland
105,v_nodes,S-2274,STR,0491019N,1230803W,49.1719444444,-123.1341666667,AKROYD,8200 ACKROYD RD,,,RICHMOND,BC,V6X1B5,CAN,America/Los_Angeles,BC Lower Mainland
71,v_nodes,S-902,STR,0490335N,1222940W,49.0597222222,-122.4944444444,ALDERGROVE,26310 FRASER HIGHWAY,#100,,ALDERGROVE,BC,V4W2Z7,CAN,America/Los_Angeles,BC Lower Mainland
103,v_nodes,S-6678,STR,0533242N,1131905W,53.545,-113.3180555556,BASELINE,60 BROADWAY BOULEVARD,,,SHERWOOD PARK,AB,T8H2A2,CAN,America/Los_Angeles,AB North
24,v_nodes,S-106,STR,0504201N,1202341W,50.7002777778,-120.3947222222,BROCKLEHURST,1800 TRANQUILLE ROAD,#38,,KAMLOOPS,BC,V2B3L9,CAN,America/Los_Angeles,BC Interior
87,v_nodes,S-2277,STR,0544704N,1271033W,54.7844444444,-127.1758333333,BULKLEY VALLEY WHOLESALE,3302 HIGHWAY 16,,,SMITHERS,BC,V0J2N0,CAN,America/Los_Angeles,BC North
41,v_nodes,S-3,STR,0541403N,1254459W,54.2341666667,-125.7497222222,BURNS LAKE,117 YELLOWHEAD HIGHWAY,,,BURNS LAKE,BC,V0J1E0,CAN,America/Los_Angeles,BC North
40,v_nodes,S-6614,STR,0532804N,1132938W,53.4677777778,-113.4938888889,CALGARY TRAIL,"3361 CALGARY TRAIL, SOUTHBOUND",,,EDMONTON,AB,T6J6V1,CAN,America/Los_Angeles,AB North
73,v_nodes,S-937,STR,0491552N,1230653W,49.2644444444,-123.1147222222,CAMBIE,2308 CAMBIE STREET,,,VANCOUVER,BC,V5Z2T8,CAN,America/Los_Angeles,BC Lower Mainland
133,v_nodes,S-2221,STR,0491516N,1225335W,49.2544444444,-122.8930555556,CAMERON,3433 NORTH ROAD,,,COQUITLAM,BC,V3J1P1,CAN,America/Los_Angeles,BC Lower Mainland
128,v_nodes,S-955,STR,0500148N,1251500W,50.03,-125.25,CAMPBELL RIVER,1400 DOGWOOD STREET,#400,,CAMPBELL RIVER,BC,V9W3A6,CAN,America/Los_Angeles,BC Vancouver Island
94,v_nodes,S-2249,STR,0491920N,1230552W,49.3222222222,-123.0977777778,CAPILANO,140 879 MARINE DRIVE,,,NORTH VANCOUVER,BC,V7P1R7,CAN,America/Los_Angeles,BC Lower Mainland
69,v_nodes,S-2213,STR,0491010N,1215720W,49.1694444444,-121.9555555556,CHILLIWACK,46020 YALE ROAD,,,CHILLIWACK,BC,V2P7V2,CAN,America/Los_Angeles,BC Lower Mainland
86,v_nodes,S-2263,STR,0490730N,1224214W,49.125,-122.7038888889,CLAYTON,8710 FRASER HIGHWAY,,,SURREY,BC,V3S7Y4,CAN,America/Los_Angeles,BC Lower Mainland
48,v_nodes,S-2208,STR,0490304N,1221860W,49.0511111111,-122.3166666667,CLEARBROOK,32700 SOUTH FRASER WAY,#300,,ABBOTSFORD,BC,V2T4M5,CAN,America/Los_Angeles,BC Lower Mainland
52,v_nodes,S-2215,STR,0490708N,1224349W,49.1188888889,-122.7302777778,CLOVERDALE CROSSING,17745 - 64TH AVENUE,,,SURREY,BC,V3S1Z2,CAN,America/Los_Angeles,BC Lower Mainland
20,v_nodes,S-7615,STR,0491722N,1230726W,49.2894444444,-123.1238888889,COAL HARBOUR,305 BUTE STREET,,,VANCOUVER,BC,V6C3T6,CAN,America/Los_Angeles,BC Lower Mainland
61,v_nodes,S-965,STR,0535206N,1224630W,53.8683333333,-122.775,COLLEGE HEIGHTS,5232 DOMANO BLVD,,,PRINCE GEORGE,BC,V2N4A1,CAN,America/Los_Angeles,BC North
135,v_nodes,S-110,STR,0504620N,1202033W,50.7722222222,-120.3425,COOPERS WESTSYDE,3435 WESTSYDE,,,KAMLOOPS,BC,V2B7H1,CAN,America/Los_Angeles,BC Interior
14,v_nodes,S-951,STR,0491220N,1240028W,49.2055555556,-124.0077777778,COUNTRY CLUB,3200 NORTH ISLAND HIGHWAY,,,NANAIMO,BC,V9T1W1,CAN,America/Los_Angeles,BC Vancouver Island
126,v_nodes,S-915,STR,0493060N,1154513W,49.5166666667,-115.7536111111,CRANBROOK,505 VICTORIA AVENUE,,,CRANBROOK,BC,V1C6S3,CAN,America/Los_Angeles,BC Kootenays
18,v_nodes,S-16,STR,0490712N,1163112W,49.12,-116.52,CRESTON,1000 NORTHWEST BOULEVARD,#3,,CRESTON,BC,V0B1G6,CAN,America/Denver,BC Kootenays
8,v_nodes,S-165,STR,0491314N,1223329W,49.2205555556,-122.5580555556,DEWDNEY,23981 DEWDNEY TRUNK ROAD,,,MAPLE RIDGE,BC,V4R1W1,CAN,America/Los_Angeles,BC Lower Mainland
70,v_nodes,S-6686,STR,0521405N,1134631W,52.2347222222,-113.7752777778,EAST HILL CENTRE,3020 - 22ND STREET,#300,,RED DEER,AB,T4R3J5,CAN,America/Los_Angeles,AB North
56,v_nodes,S-935,STR,0491043N,1222941W,49.1786111111,-122.4947222222,EAST MAPLE RIDGE,22703 LOUGHEED HIGHWAY,,,MAPLE RIDGE,BC,V2X2V5,CAN,America/Los_Angeles,BC Lower Mainland
118,v_nodes,S-6630,STR,0532530N,1133046W,53.425,-113.5127777778,ELLERSLIE,11180 ELLERSLIE ROAD S.W.,,,EDMONTON,AB,T6W1A2,CAN,America/Los_Angeles,AB North
134,v_nodes,W-14,DC,0490604N,1222815W,49.1011111111,-122.4708333333,EVG,5111 - 272ND STREET,,,LANGLEY,BC,V4W1S3,CAN,America/Los_Angeles,Warehouse
89,v_nodes,W-18,DC,0490346N,1222825W,49.0627777778,-122.4736111111,EVG-SEAS,5111 - 272ND STREET,,,LANGLEY,BC,V4W3Z2,CAN,America/Los_Angeles,Warehouse
136,v_nodes,W-11,DC,0490604N,1222815W,49.1011111111,-122.4708333333,EVPF,5016 272ND STREET,,,LANGLEY,BC,V4W1S3,CAN,America/Los_Angeles,Warehouse
132,v_nodes,S-7623,STR,0491606N,1230621W,49.2683333333,-123.1058333333,FALSE CREEK,1688 SALT ST,,,VANCOUVER,BC,V5Y1E4,CAN,America/Los_Angeles,BC Lower Mainland
66,v_nodes,S-219,STR,0493011N,1150355W,49.5030555556,-115.0652777778,FERNIE,792 - 2ND AVENUE,,,FERNIE,BC,V0B1M0,CAN,America/Los_Angeles,BC Kootenays
104,v_nodes,S-2218,STR,0491008N,1224805W,49.1688888889,-122.8013888889,FLEETWOOD,9014 - 152ND STREET,,,SURREY,BC,V3R4E7,CAN,America/Los_Angeles,BC Lower Mainland
111,v_nodes,S-6607,STR,0564251N,1112058W,56.7141666667,-111.3494444444,FORT McMURRAY,8406 FRANKLIN AVENUE,,,FORT MCMURRAY,AB,T9H2J3,CAN,America/Los_Angeles,AB North
90,v_nodes,S-21,STR,0584820N,1224152W,58.8055555556,-122.6977777778,FORT NELSON,5103 AIRPORT ROAD,,,FORT NELSON,BC,V0C1R0,CAN,America/Los_Angeles,BC North
42,v_nodes,S-23,STR,0542529N,1241959W,54.4247222222,-124.3330555556,FORT ST JAMES,488 STUART DRIVE,,,FORT ST JAMES,BC,V0J1P0,CAN,America/Los_Angeles,BC North
63,v_nodes,S-2220,STR,0561459N,1205050W,56.2497222222,-120.8472222222,FORT ST. JOHN,10345 - 100TH STREET,,,FORT ST JOHN,BC,V1J3Z2,CAN,America/Los_Angeles,BC North
58,v_nodes,S-959,STR,0491950N,1242039W,49.3305555556,-124.3441666667,FRENCH CREEK,826 WEST ISLAND HIGHWAY,,,PARKSVILLE,BC,V9P2B7,CAN,America/Los_Angeles,BC Vancouver Island
92,v_nodes,S-152,STR,0490626N,1215752W,49.1072222222,-121.9644444444,GARRISON,45635 TAMIHI WAY,,,CHILLIWACK,BC,V2R0M4,CAN,America/Los_Angeles,BC Lower Mainland
101,v_nodes,S-124,STR,0495500N,1192612W,49.9166666667,-119.4366666667,GLENMORE,115 1972 KANE ROAD,,,KELOWNA,BC,V1V2E5,CAN,America/Los_Angeles,BC Interior
97,v_nodes,S-22,STR,0511735N,1165800W,51.2930555556,-116.9666666667,GOLDEN,1020 - 10TH AVENUE S.,,,GOLDEN,BC,V0A1H0,CAN,America/Los_Angeles,BC Interior
4,v_nodes,S-24,STR,0490130N,1182715W,49.025,-118.4541666667,GRAND FORKS,441 CENTRAL,,,GRAND FORKS,BC,V0H1H0,CAN,America/Los_Angeles,BC Kootenays
117,v_nodes,S-6628,STR,0551128N,1184835W,55.1911111111,-118.8097222222,GRANDE PRAIRIE,10819 - 106TH AVENUE,,,GRANDE PRAIRIE,AB,T8V7X1,CAN,America/Los_Angeles,BC North
65,v_nodes,S-2256,STR,0491533N,1230154W,49.2591666667,-123.0316666667,GRANDVIEW,880 BENTALL STREET,,,VANCOUVER,BC,V5M4H4,CAN,America/Los_Angeles,BC Lower Mainland
115,v_nodes,S-6615,STR,0532951N,1133952W,53.4975,-113.6644444444,HAMPTON,6260 - 199TH STREET N.W.,,,EDMONTON,AB,T5T2K4,CAN,America/Los_Angeles,AB North
77,v_nodes,S-968,STR,0535920N,1224734W,53.9888888889,-122.7927777778,HART HIGHWAY,3885 WEST AUSTIN ROAD,,,PRINCE GEORGE,BC,V2K2H7,CAN,America/Los_Angeles,BC North
37,v_nodes,S-907,STR,0491312N,1225722W,49.22,-122.9561111111,HIGHGATE VILLAGE,7155 KINGSWAY,#200,,BURNABY,BC,V5E2V1,CAN,America/Los_Angeles,BC Lower Mainland
6,v_nodes,S-157,STR,0492255N,1212352W,49.3819444444,-121.3977777778,HOPE,559 OLD HOPE PRINCETON HIGHWAY,,,HOPE,BC,V0X1L0,CAN,America/Los_Angeles,BC Lower Mainland
78,v_nodes,S-969,STR,0490717N,1230922W,49.1213888889,-123.1561111111,IRONWOOD,11666 STEVESTON HIGHWAY,#3000,,RICHMOND,BC,V7A5J3,CAN,America/Los_Angeles,BC Lower Mainland
2,v_nodes,S-33,STR,0494001N,1160017W,49.6669444444,-116.0047222222,KIMBERLEY,1525 WARREN AVE,,,KIMBERLEY,BC,V1A1R4,CAN,America/Los_Angeles,BC Kootenays
93,v_nodes,S-2240,STR,0491456N,1230432W,49.2488888889,-123.0755555556,KING EDWARD,1403 EAST KING EDWARD AVENUE,,,VANCOUVER,BC,V5N5Z4,CAN,America/Los_Angeles,BC Lower Mainland
47,v_nodes,S-2207,STR,0491124N,1225043W,49.19,-122.8452777778,KING GEORGE,10312 KING GEORGE HIGHWAY,,,SURREY,BC,V3T2W5,CAN,America/Los_Angeles,BC Lower Mainland
23,v_nodes,S-34,STR,0540256N,1283942W,54.0488888889,-128.6616666667,KITIMAT,535 MOUNTAIN VIEW SQUARE,,,KITIMAT,BC,V8C2N1,CAN,America/Los_Angeles,BC North
12,v_nodes,S-936,STR,0490524N,1230447W,49.09,-123.0797222222,LADNER,5186 - 48TH AVENUE,,,DELTA,BC,V4K1W3,CAN,America/Los_Angeles,BC Lower Mainland
55,v_nodes,S-932,STR,0495118N,1192924W,49.855,-119.49,LAKESHORE CENTRE,3175 LAKESHORE ROAD,,,KELOWNA,BC,V1W3S9,CAN,America/Los_Angeles,BC Interior
85,v_nodes,S-2242,STR,0490623N,1223911W,49.1063888889,-122.6530555556,LANGLEY - DOWNTOWN,20151 FRASER HIGHWAY,,,LANGLEY,BC,V3A4L9,CAN,America/Los_Angeles,BC Lower Mainland
25,v_nodes,S-135,STR,0504037N,1201954W,50.6769444444,-120.3316666667,LANSDOWNE,450 LANSDOWNE STREET,#200,,KAMLOOPS,BC,V2C1Y3,CAN,America/Los_Angeles,BC Interior
9,v_nodes,S-6642,STR,0494206N,1124953W,49.7016666667,-112.8313888889,LETHBRIDGE,"1112 - 2ND AVENUE ""A"" N.",,,LETHBRIDGE,AB,T1H0E3,CAN,America/Los_Angeles,BC Kootenays
119,v_nodes,S-6661,STR,0533606N,1132737W,53.6016666667,-113.4602777778,LONDONDERRY,137A - 66TH STREET,,,EDMONTON,AB,T5C3C8,CAN,America/Los_Angeles,AB North
35,v_nodes,S-989,STR,0492009N,1230227W,49.3358333333,-123.0408333333,LYNN VALLEY,1199 LYNN VALLEY ROAD,#1221,,NORTH VANCOUVER,BC,V7J3H2,CAN,America/Los_Angeles,BC Lower Mainland
82,v_nodes,S-996,STR,0491600N,1230026W,49.2666666667,-123.0072222222,MADISON CENTRE,4399 LOUGHEED HIGHWAY,,,BURNABY,BC,V5C3Y7,CAN,America/Los_Angeles,BC Lower Mainland
116,v_nodes,S-6619,STR,0532714N,1133343W,53.4538888889,-113.5619444444,MAGRATH,14161 - 23RD AVENUE N.W.,,,EDMONTON,AB,T6R0G4,CAN,America/Los_Angeles,AB North
84,v_nodes,S-2228,STR,0491201N,1225756W,49.2002777778,-122.9655555556,MARINE WAY,5700 MARINE WAY,,,BURNABY,BC,V5J0A3,CAN,America/Los_Angeles,BC Lower Mainland
39,v_nodes,S-6609,STR,0533236N,1133628W,53.5433333333,-113.6077777778,MAYFIELD,360 MAYFIELD COMMON N.W.,,,EDMONTON,AB,T5P4B3,CAN,America/Los_Angeles,AB North
49,v_nodes,S-6670,STR,0532720N,1132241W,53.4555555556,-113.3780555556,MEADOWS,2390 - 24TH STREET N.W.,,,EDMONTON,AB,T6T0G9,CAN,America/Los_Angeles,AB North
45,v_nodes,S-143,STR,0500932N,1205256W,50.1588888889,-120.8822222222,MERRIT,1700 GARCIA STREET,#116,,MERRITT,BC,V1K1B8,CAN,America/Los_Angeles,BC Interior
110,v_nodes,S-927,STR,0491340N,1225935W,49.2277777778,-122.9930555556,METROTOWN PHARMACY,6200 MC KAY AVE,#0125,,BURNABY,BC,V5H2E3,CAN,America/Los_Angeles,BC Lower Mainland
13,v_nodes,S-946,STR,0490744N,1221910W,49.1288888889,-122.3194444444,MISSION,32555 LONDON AVENUE,#400,,MISSION,BC,V2V6M7,CAN,America/Los_Angeles,BC Lower Mainland
109,v_nodes,S-7638,STR,0495118N,1192924W,49.855,-119.49,MISSION PARK,45 - 3155 LAKESHORE RD,,,KELOWNA,BC,V1W3S9,CAN,America/Los_Angeles,BC Interior
43,v_nodes,S-47,STR,0501424N,1174722W,50.24,-117.7894444444,NAKUSP,510 BROADWAY STREET,,,NAKUSP,BC,V0G1R0,CAN,America/Los_Angeles,BC Interior
122,v_nodes,S-6664,STR,0533723N,1132709W,53.6230555556,-113.4525,NAMAO,9510 - 160TH AVENUE N.W.,,,EDMONTON,AB,T5Z3S5,CAN,America/Los_Angeles,AB North
17,v_nodes,S-953,STR,0492949N,1171733W,49.4969444444,-117.2925,NELSON,1200 LAKESIDE DRIVE,,,NELSON,BC,V1L5Z3,CAN,America/Los_Angeles,BC Kootenays
3,v_nodes,S-910,STR,0490814N,1225044W,49.1372222222,-122.8455555556,NEWTON,7320 KING GEORGE HIGHWAY,#100,,SURREY,BC,V3W5A5,CAN,America/Los_Angeles,BC Lower Mainland
74,v_nodes,S-939,STR,0490942N,1225347W,49.1616666667,-122.8963888889,NORDEL CROSSING,12130 NORDEL WAY,,,SURREY,BC,V3W1P6,CAN,America/Los_Angeles,BC Lower Mainland
131,v_nodes,S-3203,STR,0533023N,1132911W,53.5063888889,-113.4863888889,NORTHERN FOOD SERVICES,9910 69 AVENUE,,,EDMONTON,AB,T6E6G1,CAN,America/Los_Angeles,AB North
79,v_nodes,S-980,STR,0495246N,1192636W,49.8794444444,-119.4433333333,ORCHARD PLAZA,1876 COOPER ROAD,#101,,KELOWNA,BC,V1Y9N6,CAN,America/Los_Angeles,BC Interior
11,v_nodes,S-6667,STR,0533727N,1133313W,53.6241666667,-113.5536111111,OXFORD,12903 - 153RD AVENUE N.W.,,,EDMONTON,AB,T6V0C3,CAN,America/Los_Angeles,AB North
129,v_nodes,S-6604,STR,0510956N,1140050W,51.1655555556,-114.0138888889,PANORAMA,225 PANTELLA HILL NW,,,CALGARY,AB,T3K0R1,CAN,America/Los_Angeles,AB North
36,v_nodes,S-990,STR,0491904N,1230235W,49.3177777778,-123.0430555556,PARK & TILFORD,333 BROOKSBANK AVENUE,#600,,NORTH VANCOUVER,BC,V7J3S8,CAN,America/Los_Angeles,BC Lower Mainland
83,v_nodes,S-999,STR,0491926N,1230633W,49.3238888889,-123.1091666667,PEMBERTON PLAZA,1250 MARINE DRIVE,,,NORTH VANCOUVER,BC,V7P1T3,CAN,America/Los_Angeles,BC Lower Mainland
59,v_nodes,S-962,STR,0492829N,1193458W,49.4747222222,-119.5827777778,PENTICTON,2111 MAIN STREET,,,PENTICTON,BC,V2A6W6,CAN,America/Los_Angeles,BC Interior
102,v_nodes,S-2298,STR,0491634N,1224747W,49.2761111111,-122.7963888889,PINETREE,2991 LOUGHEED HIGHWAY,,,COQUITLAM,BC,V3B6J6,CAN,America/Los_Angeles,BC Lower Mainland
91,v_nodes,S-148,STR,0501526N,1191553W,50.2572222222,-119.2647222222,POLSON,255 2306 HIGHWAY 6,,,VERNON,BC,V1T7E3,CAN,America/Los_Angeles,BC Interior
7,v_nodes,S-160,STR,0491616N,1224514W,49.2711111111,-122.7538888889,PORT COQUITLAM,1430 PRAIRIE AVENUE,,,PORT COQUITLAM,BC,V3B5M8,CAN,America/Los_Angeles,BC Lower Mainland
57,v_nodes,S-957,STR,0491524N,1224451W,49.2566666667,-122.7475,PORT COQUITLAM,2385 OTTAWA STREET,,,PORT COQUITLAM,BC,V3B8A4,CAN,America/Los_Angeles,BC Lower Mainland
44,v_nodes,S-61,STR,0504334N,1273006W,50.7261111111,-127.5016666667,PORT HARDY,8950 GRANVILLE STREET,,,PORT HARDY,BC,V0N2P0,CAN,America/Los_Angeles,BC Vancouver Island
32,v_nodes,S-985,STR,0495048N,1243102W,49.8466666667,-124.5172222222,POWELL RIVER,7100 ALBERNI STREET,,,POWELL RIVER,BC,V8A5K9,CAN,America/Los_Angeles,BC Vancouver Island
62,v_nodes,S-966,STR,0535437N,1224418W,53.9102777778,-122.7383333333,PRINCE GEORGE - DOWNTOWN,1600 - 15TH AVENUE,#100,,PRINCE GEORGE,BC,V2L3X3,CAN,America/Los_Angeles,BC North
22,v_nodes,S-70,STR,0541834N,1301946W,54.3094444444,-130.3294444444,PRINCE RUPERT,841 - 3RD AVE W.,,,PRINCE RUPERT,BC,V8J1M7,CAN,America/Los_Angeles,BC North
100,v_nodes,S-164,STR,0492737N,1203027W,49.4602777778,-120.5075,PRINCETON,258 BRIDGE STREET,,,PRINCETON,BC,V0X1W0,CAN,America/Los_Angeles,BC Kootenays
10,v_nodes,S-2204,STR,0491030N,1225805W,49.175,-122.9680555556,QUEENSBOROUGH,23200 GILLEY ROAD,#100,,RICHMOND,BC,V6V2L6,CAN,America/Los_Angeles,BC Lower Mainland
125,v_nodes,S-6682,STR,0521725N,1134860W,52.2902777778,-113.8166666667,RED DEER - NORTH,6720 - 52ND AVENUE,,,RED DEER,AB,T4N4K9,CAN,America/Los_Angeles,AB North
46,v_nodes,S-145,STR,0505957N,1181154W,50.9991666667,-118.1983333333,REVELSTOKE,555 VICTORIA STREET,,,REVELSTOKE,BC,V0E2S0,CAN,America/Los_Angeles,BC Interior
