   ,HOST_EXT_ID,WT_A_1_WGT,WT_A_2_WGT,WT_A_3_WGT,WT_A_4_WGT,WT_A_5_WGT,WT_A_6_WGT,WT_A_7_WGT,WT_F_1_WGT,WT_F_2_WGT,WT_F_3_WGT,WT_F_4_WGT,WT_F_5_WGT,WT_F_6_WGT,WT_F_7_WGT,WT_P_1_WGT,WT_P_2_WGT,WT_P_3_WGT,WT_P_4_WGT,WT_P_5_WGT,WT_P_6_WGT,WT_P_7_WGT,WT_A_1_CUBE,WT_A_2_CUBE,WT_A_3_CUBE,WT_A_4_CUBE,WT_A_5_CUBE,WT_A_6_CUBE,WT_A_7_CUBE,WT_F_1_CUBE,WT_F_2_CUBE,WT_F_3_CUBE,WT_F_4_CUBE,WT_F_5_CUBE,WT_F_6_CUBE,WT_F_7_CUBE,WT_P_1_CUBE,WT_P_2_CUBE,WT_P_3_CUBE,WT_P_4_CUBE,WT_P_5_CUBE,WT_P_6_CUBE,WT_P_7_CUBE
1,S-22,0,13013.6148,0,10144.8462,12772.0195,9801.6862,9045.9724,0,3701.6188,2977.4992,0,3303.4287,2595.428,3092.181,0,10372.7278,12222.4678,0,13393.1815,14481.2612,13518.1372,0,761.1678,0,675.3139,775.9912,601.1061,552.1121,0,307.2486,230.7421,0,255.3896,221.616,239.4092,0,675.0286,810.9836,0,886.8806,960.6501,901.8382
2,S-2215,0,20511.8341,0,0,16133.658,9676.0757,15531.8277,4529.9065,0,5617.7404,0,0,6052.1506,0,12669.0483,16048.531,12180.4097,15062.049,10181.6727,16402.2293,0,0,1381.0909,0,0,981.7382,538.2714,959.8103,318.6596,0,389.7187,0,0,422.3917,0,817.159,1029.8787,763.0149,960.0246,676.8142,1072.2006,0
3,S-2220,0,21618.1041,7519.4335,27678.5255,15728.6646,17253.3894,17859.0997,7815.3259,4686.6128,3512.419,7720.3653,0,7970.9597,0,16729.6352,21749.4762,15878.3382,16644.7686,18252.584,22427.1454,16396.5232,0,1233.7638,419.1638,1707.9517,1076.0183,1214.2173,998.8072,597.1016,369.4928,277.8189,597.2783,0,617.7973,0,1156.1708,1508.3503,1091.5975,1190.0079,1228.1864,1549.5897,1076.2811
4,S-2228,0,20585.055,18910.7616,0,15605.9477,7439.3744,16252.8176,4512.9187,0,5066.5217,0,0,5382.8006,0,12527.5827,13039.4761,0,12122.8137,7269.7389,9942.1771,11027.213,0,1324.6892,1244.1746,0,986.0953,464.4933,1021.0715,327.5262,0,360.8484,0,0,390.3056,0,824.7675,812.0672,0,745.451,466.9603,654.7063,709.2742
5,S-2235,0,17371.0749,0,22767.2054,13635.8918,14742.2666,15967.2484,5812.4093,0,7114.88,0,0,6516.3634,0,15021.1475,10751.9883,20586.8567,0,21806.3262,0,14484.541,0,986.8643,0,1690.4128,898.3039,897.7233,1040.7764,411.8427,0,500.9978,0,0,454.0056,0,906.193,739.4009,1286.9805,0,1355.0938,0,926.1261
6,S-2274,10542.7925,12478.7552,13914.1694,0,17120.692,0,9933.9992,4176.4115,2781.892,2763.3753,4888.7859,2832.565,5324.4727,0,16271.6617,6619.1269,9067.6029,10560.9794,11301.7468,14490.0718,13852.5118,630.9602,751.8792,992.6414,0,1141.0689,0,686.7475,319.9183,188.4132,217.1676,349.0973,220.5525,374.7559,0,932.1643,472.3823,622.5513,678.1759,718.5521,933.247,878.3609
7,S-61,0,13523.4376,0,11018.2057,6421.2439,13476.8553,6371.5647,0,4001.4942,0,3818.9987,2994.3697,4613.4013,2833.4592,0,11708.9299,0,13442.4627,7737.9957,7470.2087,12614.4547,0,834.4345,0,645.3448,408.4895,867.727,372.0904,0,298.3188,0,291.2099,245.9271,339.4106,223.5391,0,801.2398,0,967.0567,538.1257,462.6587,881.5262
8,S-6606,7575.5174,7311.3246,15951.8032,10687.4848,14534.5638,9959.1516,8826.1823,20.5087,2040.3226,3609.8011,0,4805.6309,1256.9863,3656.5,8066.415,9083.7249,12120.097,6178.7165,15121.6823,6991.4759,13139.4898,505.4222,433.4593,1034.9042,736.8274,935.2189,581.7543,635.2339,0.9519,162.734,284.5327,0,370.9485,97.0725,289.9916,613.1728,603.7224,771.3491,450.9148,1033.4501,471.671,867.1203
9,S-6612,0,10002.7774,4750.6586,10819.7477,7679.1105,7407.3504,6521.3025,0,2634.4313,3027.6895,0,3645.9178,0,3147.8869,5932.0193,10456.7944,6576.8024,9269.7829,8649.0197,12918.4998,0,0,580.7636,305.3716,793.9688,518.943,430.8488,408.1328,0,230.5372,235.4308,0,283.3115,0,249.4841,356.0823,727.0891,407.2909,587.2289,543.662,905.0586,0
10,S-6613,12368.1499,14659.9088,12384.6943,14630.8326,13595.2087,12712.9573,9307.053,0,4050.4923,4883.9877,0,5738.2893,0,5673.4593,11798.4715,16907.7872,9135.7293,6449.4457,14769.2098,10213.4544,14664.0223,749.4279,1020.4504,783.181,937.0714,978.9878,780.8967,501.8291,0,338.0623,383.7679,0,447.6616,0,467.5415,749.6484,1237.2941,572.0414,437.4924,1060.2796,633.5417,1061.6963
11,S-6614,12645.1648,16454.7676,14509.0797,0,9741.101,14696.3936,14454.4305,0,3473.7377,0,3276.1807,2487.0679,4129.3425,3307.7834,6227.2082,10304.6197,9853.8668,0,15495.6398,4782.6544,12818.6307,822.5201,998.9985,1034.528,0,642.5367,905.1708,872.5246,0,274.8128,0,265.7009,211.9712,318.7956,276.0463,438.1643,665.0709,648.3409,0,1077.2541,357.0993,913.1623
12,S-6628,16230.1655,4674.3001,0,20286.5579,10286.1217,14268.1563,0,4057.8752,1303.2131,0,4606.1414,3653.5061,4318.1367,0,15017.3484,12449.0786,0,16172.6619,21696.1599,18971.0205,0,954.5859,270.3118,0,1347.3073,669.5199,859.0889,0,319.3658,105.2572,0,374.1199,302.8147,350.3255,0,1045.951,874.3077,0,1149.404,1458.9244,1357.538,0
13,S-6664,0,14852.0214,4689.9808,10314.4683,9919.138,10173.2978,2939.5053,0,3649.8624,3053.8455,0,4818.0232,0,3581.2168,6245.9471,13323.3503,10194.1167,11559.7077,9552.2881,16545.0557,0,0,1009.0936,270.1944,624.0143,607.5719,592.7497,218.0498,0,296.9385,239.266,0,362.0711,0,296.2505,441.6689,939.1924,681.4277,738.9927,592.1966,1154.5664,0
14,S-6675,0,14518.1993,0,9838.8917,9894.2669,12286.7355,11682.0166,0,2921.0904,0,2848.6282,1391.3653,3474.2991,3051.316,6781.8534,11995.9671,0,9338.7826,8300.9235,12676.3958,0,0,1013.9395,0,613.6657,577.1418,766.4155,608.8346,0,226.0925,0,224.4165,108.8606,279.4898,239.3807,416.9282,812.458,0,616.9298,637.4192,879.9366,0
15,S-6678,11502.2856,15172.3433,14699.7599,0,11984.0772,15085.2732,12509.4238,0,4004.0053,0,3886.2422,2880.5941,4114.1008,1833.4807,4697.142,8831.4713,9781.1821,0,13816.0417,11720.0087,11304.7601,759.9263,905.1903,989.3196,0,760.2993,892.7677,732.8934,0,302.7947,0,294.0551,223.1992,300.5345,170.556,322.0162,554.2991,648.3351,0,956.2382,754.4968,799.0088
16,S-7614,2975.6308,0,3594.9277,0,3559.8882,3523.9019,3988.9013,1326.4728,0,832.3655,1340.3627,871.3605,0,0,5308.2684,0,5282.8152,6200.7529,2278.0697,7853.7167,0,180.7179,0,216.8945,0,222.389,186.3101,256.1409,98.901,0,53.6533,96.8258,68.0282,0,0,355.7087,0,338.9159,397.9382,151.1208,510.8582,0
17,S-7618,0,1374.5083,1579.6159,0,1684.114,0,2172.4805,0,0,898.2236,0,0,0,870.0159,0,3662.764,3717.5728,0,4329.9902,0,3861.8032,0,89.6488,93.3825,0,101.5772,0,120.9902,0,0,62.4913,0,0,0,67.8161,0,242.3899,224.7875,0,289.8202,0,254.4522
18,S-931,6803.3374,12588.2642,8203.8122,0,14623.8861,19452.8564,17626.2257,5559.4609,4872.9606,0,5831.4152,6310.4435,5972.5244,5641.1112,12310.9637,12682.556,20397.0731,0,15969.2698,12539.2002,15719.1009,382.1096,735.1084,588.3442,0,867.555,1047.9096,1042.9001,464.0125,370.185,0,448.897,535.6975,460.6676,434.1118,784.4418,843.7538,1363.4136,0,1072.4417,786.6843,1069.8507
19,S-935,12160.4496,12947.8777,10829.5848,17610.3739,11191.9661,13012.075,12630.3326,0,5650.318,6120.7004,6837.0227,2717.4606,4822.3931,7358.7102,11963.7514,13437.2252,15010.7393,6463.5583,13815.0398,11157.3289,17892.499,727.1943,784.5407,647.9984,1394.9519,690.4903,776.0014,811.2582,0,421.3675,429.7119,503.253,229.6388,345.376,527.6656,833.7901,828.4589,931.3833,432.6458,832.8765,769.359,1048.0828
20,S-936,67.4597,12917.1859,17479.9338,14198.502,14412.0966,9537.0491,6806.6469,0,4877.9782,1203.6615,4317.7416,1962.3328,4562.8401,0,0,14374.2855,8801.924,12499.2823,9271.5012,10401.0626,15978.837,4.4096,797.2475,1243.3199,1023.5597,908.5157,572.6173,484.2199,0,344.0448,69.3297,312.0949,140.1745,325.8593,0,0,893.2076,539.0678,791.5892,595.1881,653.4458,995.6646
21,S-937,10257.3167,8303.233,12444.6581,0,16836.3966,8331.4943,12094.5561,5228.0487,0,4035.7167,4948.2605,1707.1524,3994.3891,0,16155.4301,15387.1145,7805.5941,12340.9892,6277.9465,14866.5027,9251.9991,599.5,530.2921,807.3896,0,1169.2408,445.1746,811.1085,393.177,0,275.9492,368.3363,158.1917,295.57,0,1062.1776,992.6011,537.6155,778.0813,436.5971,961.0964,643.0359
22,S-955,0,11795.0828,0,15238.4026,10698.1174,11509.6616,7186.0308,4779.0509,0,0,3996.7897,3247.1599,4792.4264,1441.1913,14253.5438,13241.1631,0,14298.1383,16555.0463,15029.2147,6760.2549,0,714.4371,0,1172.7943,638.0603,713.0422,472.666,355.1299,0,0,300.5607,272.5594,354.3774,141.9034,973.6287,812.5048,0,960.8891,1183.2471,1030.5826,465.7079
23,S-971,6626.437,0,8428.3234,0,7973.683,5984.5608,7302.1926,3479.9172,0,1511.8101,2983.7504,2170.2779,2695.9193,0,7956.1731,4687.952,6084.488,0,6167.3958,8709.0164,0,389.4959,0,619.7294,0,506.8272,328.5923,451.2199,242.9589,0,88.8038,214.6099,163.7571,192.4054,0,483.4126,328.5701,364.7427,0,403.4303,554.4054,0
24,S-985,10103.4361,12878.6482,0,11989.0854,8129.0148,12798.1777,0,4012.6398,2808.9557,0,3784.4208,2721.121,4435.8767,0,11484.7226,17068.6682,0,17946.0194,6935.1982,20258.0905,0,590.7317,846.0819,0,638.9739,475.1482,761.2445,0,306.6844,242.1585,0,289.9647,228.2595,336.3021,0,759.2212,1142.5964,0,1251.8276,580.0848,1392.9553,0
25,S-992,11277.2322,12052.8387,0,16196.4489,7896.5161,10518.3817,1028.7609,3458.5315,4341.0602,3383.2493,4474.1336,2019.5298,4698.9621,0,10756.2052,9519.0941,11557.47,0,14005.4633,0,11426.8911,638.2087,729.499,0,1236.4271,513.8147,649.0006,56.9071,256.446,322.7618,209.0671,320.8344,171.5953,344.9864,0,700.9641,603.5474,708.4589,0,895.4644,0,745.8298
26,S-106,0,10829.4934,7602.5715,0,7807.6608,6282.5971,8898.0373,2501.5928,2967.7602,2415.922,0,3234.8465,2663.0549,2640.2622,0,5691.0925,5953.249,0,8313.8526,7951.6071,8971.4306,0,642.2173,507.7701,0,501.003,580.6384,526.6258,196.0132,238.0209,174.9553,0,232.3765,177.8018,190.149,0,355.015,382.583,0,525.2009,519.9628,564.5621
27,S-110,0,5046.4343,6409.5482,0,7306.795,5175.6123,5473.6889,730.5742,2275.0695,2246.1539,0,2677.9464,2398.598,2053.0679,0,2851.3624,6217.4094,0,8115.1831,7670.2184,7969.4601,0,319.5401,405.6657,0,519.4618,318.3065,316.7605,52.6529,174.3877,172.5938,0,196.1109,202.5304,151.6122,0,193.1633,389.3346,0,558.2037,509.2302,519.0533
