   ,V_ID,HOST_EXT_ID,ADRTYP,LAT_PCMILER,LONG_PCMILER,LAT_GOOGLE,LONG_GOOGLE,ADRNAM,ADRLN1,ADRLN2,ADRLN3,ADRCTY,ADRSTC,ADRPSZ,CTRY_NAME,TIM_ZON_CD,GEOLOC_NAM
1,v_nodes,S-6665,STR,0533750N,1133718W,53.63055556,-112.3783333,VILLAGE LANDING,140 ST ALBERT ROAD,#500,,ST ALBERT,AB,T8N7C8,CAN,America/Los_Angeles,AB North
2,v_nodes,S-33,STR,0494001N,1160017W,49.66694444,-115.9952778,KIMBERLEY,1525 WARREN AVE,,,KIMBERLEY,BC,V1A1R4,CAN,America/Los_Angeles,BC Kootenays
3,v_nodes,S-910,STR,0490814N,1225044W,49.13722222,-121.1544444,NEWTON,7320 KING GEORGE HIGHWAY,#100,,SURREY,BC,V3W5A5,CAN,America/Los_Angeles,BC Lower Mainland
4,v_nodes,S-126,STR,0500111N,1192459W,50.01972222,-118.5836111,WINFIELD,9522 MAIN STREET,#10,,WINFIELD,BC,V4V2L9,CAN,America/Los_Angeles,BC Interior
5,v_nodes,S-157,STR,0492255N,1212352W,49.38194444,-120.6022222,HOPE,559 OLD HOPE PRINCETON HIGHWAY,,,HOPE,BC,V0X1L0,CAN,America/Los_Angeles,BC Lower Mainland
6,v_nodes,S-160,STR,0491616N,1224514W,49.27111111,-121.2461111,PORT COQUITLAM,1430 PRAIRIE AVENUE,,,PORT COQUITLAM,BC,V3B5M8,CAN,America/Los_Angeles,BC Lower Mainland
7,v_nodes,S-165,STR,0491314N,1223329W,49.22055556,-121.4419444,DEWDNEY,23981 DEWDNEY TRUNK ROAD,,,MAPLE RIDGE,BC,V4R1W1,CAN,America/Los_Angeles,BC Lower Mainland
8,v_nodes,S-6642,STR,0494206N,1124953W,49.70166667,-111.1686111,LETHBRIDGE,"1112 - 2ND AVENUE ""A"" N.",,,LETHBRIDGE,AB,T1H0E3,CAN,America/Los_Angeles,BC Kootenays
9,v_nodes,S-2204,STR,0491030N,1225805W,49.175,-121.0319444,QUEENSBOROUGH,23200 GILLEY ROAD,#100,,RICHMOND,BC,V6V2L6,CAN,America/Los_Angeles,BC Lower Mainland
10,v_nodes,S-6667,STR,0533727N,1133313W,53.62416667,-112.4463889,OXFORD,12903 - 153RD AVENUE N.W.,,,EDMONTON,AB,T6V0C3,CAN,America/Los_Angeles,AB North
11,v_nodes,S-936,STR,0490524N,1230447W,49.09,-122.9202778,LADNER,5186 - 48TH AVENUE,,,DELTA,BC,V4K1W3,CAN,America/Los_Angeles,BC Lower Mainland
12,v_nodes,S-946,STR,0490744N,1221910W,49.12888889,-121.6805556,MISSION,32555 LONDON AVENUE,#400,,MISSION,BC,V2V6M7,CAN,America/Los_Angeles,BC Lower Mainland
13,v_nodes,S-951,STR,0491220N,1240028W,49.20555556,-123.9922222,COUNTRY CLUB,3200 NORTH ISLAND HIGHWAY,,,NANAIMO,BC,V9T1W1,CAN,America/Los_Angeles,BC Vancouver Island
14,v_nodes,S-952,STR,0490700N,1215730W,49.11666667,-120.0416667,SARDIS,6014 VEDDER ROAD,#31,,CHILLIWACK,BC,V2R5M4,CAN,America/Los_Angeles,BC Lower Mainland
15,v_nodes,S-956,STR,0494942N,1193746W,49.82833333,-118.3705556,WESTBANK,2475 DOBBIN ROAD,#1,,WESTBANK,BC,V4T2E9,CAN,America/Los_Angeles,BC Interior
16,v_nodes,S-953,STR,0492949N,1171733W,49.49694444,-116.7075,NELSON,1200 LAKESIDE DRIVE,,,NELSON,BC,V1L5Z3,CAN,America/Los_Angeles,BC Kootenays
17,v_nodes,S-16,STR,0490712N,1163112W,49.12,-115.48,CRESTON,1000 NORTHWEST BOULEVARD,#3,,CRESTON,BC,V0B1G6,CAN,America/Los_Angeles,BC Kootenays
18,v_nodes,S-78,STR,0494341N,1145333W,49.72805556,-113.1075,SPARWOOD,113 RED CEDAR DRIVE,,,SPARWOOD,BC,V0B2G0,CAN,America/Los_Angeles,BC Kootenays
19,v_nodes,W-11,DC,0490604N,1222815W,49.10111111,-121.5291667,EVPF,5016 272ND STREET,,,LANGLEY,BC,V4W1S3,CAN,America/Los_Angeles,Warehouse
20,v_nodes,S-7615,STR,0491722N,1230726W,49.28944444,-122.8761111,COAL HARBOUR,305 BUTE STREET,,,VANCOUVER,BC,V6C3T6,CAN,America/Los_Angeles,BC Lower Mainland
21,v_nodes,S-7618,STR,0491710N,1230728W,49.28611111,-122.8755556,SHANGRI-LA,1133 ALBERNI STREET,,,VANCOUVER,BC,V6E4T9,CAN,America/Los_Angeles,BC Lower Mainland
22,v_nodes,S-70,STR,0541834N,1301946W,54.30944444,-129.6705556,PRINCE RUPERT,841 - 3RD AVE W.,,,PRINCE RUPERT,BC,V8J1M7,CAN,America/Los_Angeles,BC North
23,v_nodes,S-34,STR,0540256N,1283942W,54.04888889,-127.3383333,KITIMAT,535 MOUNTAIN VIEW SQUARE,,,KITIMAT,BC,V8C2N1,CAN,America/Los_Angeles,BC North
24,v_nodes,S-106,STR,0504201N,1202341W,50.70027778,-119.6052778,BROCKLEHURST,1800 TRANQUILLE ROAD,#38,,KAMLOOPS,BC,V2B3L9,CAN,America/Los_Angeles,BC Interior
25,v_nodes,S-135,STR,0504037N,1201954W,50.67694444,-119.6683333,LANSDOWNE,450 LANSDOWNE STREET,#200,,KAMLOOPS,BC,V2C1Y3,CAN,America/Los_Angeles,BC Interior
26,v_nodes,S-967,STR,0535509N,1224656W,53.91916667,-121.2177778,SPRUCELAND,555 CENTRAL STREET,,,PRINCE GEORGE,BC,V2M3C6,CAN,America/Los_Angeles,BC North
27,v_nodes,S-979,STR,0494220N,1230931W,49.70555556,-122.8413889,SQUAMISH,1301 PEMBERTON,,,SQUAMISH,BC,V8B0A1,CAN,America/Los_Angeles,BC Lower Mainland
28,v_nodes,S-971,STR,0491013N,1231056W,49.17027778,-122.8177778,TERRA NOVA,3673 WESTMINSTER HIGHWAY,,,RICHMOND,BC,V7C5V2,CAN,America/Los_Angeles,BC Lower Mainland
29,v_nodes,S-972,STR,0525853N,1223134W,52.98138889,-121.4738889,WEST QUESNEL,155 MALCOLM,#7,,QUESNEL,BC,V2J3K2,CAN,America/Los_Angeles,BC North
30,v_nodes,S-983,STR,0543100N,1283543W,54.51666667,-127.4047222,TERRACE,4731 LAKELSE AVENUE,,,TERRACE,BC,V8G1R5,CAN,America/Los_Angeles,BC North
31,v_nodes,S-984,STR,0490947N,1223811W,49.16305556,-121.3636111,WALNUT GROVE,8840 - 210 STREET,,,LANGLEY,BC,V1M2Y2,CAN,America/Los_Angeles,BC Lower Mainland
32,v_nodes,S-987,STR,0520744N,1220803W,52.12888889,-121.8658333,WILLIAMS LAKE,730 OLIVER STREET,,,WILLIAMS LAKE,BC,V2G1N1,CAN,America/Los_Angeles,BC North
33,v_nodes,S-989,STR,0492009N,1230227W,49.33583333,-122.9591667,LYNN VALLEY,1199 LYNN VALLEY ROAD,#1221,,NORTH VANCOUVER,BC,V7J3H2,CAN,America/Los_Angeles,BC Lower Mainland
34,v_nodes,S-990,STR,0491904N,1230235W,49.31777778,-122.9569444,PARK & TILFORD,333 BROOKSBANK AVENUE,#600,,NORTH VANCOUVER,BC,V7J3S8,CAN,America/Los_Angeles,BC Lower Mainland
35,v_nodes,S-907,STR,0491312N,1225722W,49.22,-121.0438889,HIGHGATE VILLAGE,7155 KINGSWAY,#200,,BURNABY,BC,V5E2V1,CAN,America/Los_Angeles,BC Lower Mainland
36,v_nodes,S-6609,STR,0533236N,1133628W,53.54333333,-112.3922222,MAYFIELD,360 MAYFIELD COMMON N.W.,,,EDMONTON,AB,T5P4B3,CAN,America/Los_Angeles,AB North
