Origin Address,org_host_ext_id,Destination Address,dst_host_ext_id,Distance
A000000251,S-6665,A000000251,S-6665,1
A000000251,S-6665,A000000015,S-33,438.2
A000000251,S-6665,A000000042,S-910,706.5
A000000251,S-6665,A000000356,S-24,644
A000000251,S-6665,A000000134,S-126,557.9
A000000251,S-6665,A000000139,S-6612,9.1
A000000251,S-6665,A000000143,S-6619,21.3
A000000251,S-6665,A000000148,S-157,625.2
A000000251,S-6665,A000000149,S-160,710.8
A000000251,S-6665,A000000150,S-165,698.5
A000000251,S-6665,A000000155,S-6642,334.3
A000000251,S-6665,A000000152,S-2204,714.4
A000000251,S-6665,A000000153,S-6628,274
A000000251,S-6665,A000000156,S-6661,7.8
A000000251,S-6665,A000000162,S-6667,5.8
A000000251,S-6665,A000000165,S-6675,2.2
A000000251,S-6665,A000000179,S-936,718.3
A000000251,S-6665,A000000182,S-946,682.5
A000000251,S-6665,A000000185,S-951,770
A000000251,S-6665,A000000186,S-952,660.2
A000000251,S-6665,A000000189,S-956,579.3
A000000251,S-6665,A000000011,S-915,443.7
A000000251,S-6665,A000000012,S-953,587.2
A000000251,S-6665,A000000013,S-16,511.5
A000000251,S-6665,A000000017,S-78,356.4
A000000251,S-6665,A000018369,W-11,685.8
A000000251,S-6665,A000000247,S-7615,720.6
A000000251,S-6665,A000000248,S-7618,720.5
A000000251,S-6665,A000000081,S-70,905
A000000251,S-6665,A000000082,S-34,851.1
A000000251,S-6665,A000000130,S-106,498.8
A000000251,S-6665,A000000135,S-135,498.9
A000000251,S-6665,A000000154,S-6630,23.7
A000000251,S-6665,A000000197,S-967,460.6
A000000251,S-6665,A000000198,S-979,758.9
A000000251,S-6665,A000000201,S-971,726.1
A000000251,S-6665,A000000203,S-972,527.1
A000000251,S-6665,A000000204,S-983,815.1
A000000251,S-6665,A000000205,S-984,694.4
A000000251,S-6665,A000000206,S-985,822.4
A000000251,S-6665,A000000207,S-987,564.5
A000000251,S-6665,A000000208,S-973,771.7
A000000251,S-6665,A000000210,S-989,720.1
A000000251,S-6665,A000000211,S-990,718.9
A000000251,S-6665,A000000043,S-907,712.3
A000000251,S-6665,A000000252,S-6613,10.3
A000000251,S-6665,A000000136,S-977,769.2
A000000251,S-6665,A000000138,S-6609,9.9
A000000251,S-6665,A000000137,S-6607,269.7
A000000251,S-6665,A000000141,S-6614,19.2
A000000251,S-6665,A000000142,S-6615,14.4
A000000251,S-6665,A000000091,S-3,599.7
A000000251,S-6665,A000000093,S-22,358.1
A000000251,S-6665,A000000094,S-23,558
A000000251,S-6665,A000000095,S-47,512.8
A000000251,S-6665,A000000096,S-61,1006.6
A000000251,S-6665,A000000145,S-143,559.4
A000000251,S-6665,A000000146,S-145,447.2
A000000251,S-6665,A000000157,S-6662,15.9
A000000251,S-6665,A000000158,S-2207,708.4
A000000251,S-6665,A000000159,S-6663,19
A000000251,S-6665,A000000163,S-2208,678.3
A000000251,S-6665,A000000164,S-6670,20.2
A000000251,S-6665,A000000171,S-903,710.5
A000000251,S-6665,A000000172,S-904,675.5
A000000251,S-6665,A000000173,S-2215,703.5
A000000251,S-6665,A000000174,S-928,705.7
A000000251,S-6665,A000000176,S-931,502.4
A000000251,S-6665,A000000177,S-932,573.5
A000000251,S-6665,A000000178,S-935,692.3
A000000251,S-6665,A000000190,S-957,710.8
A000000251,S-6665,A000000191,S-959,789
A000000251,S-6665,A000000192,S-962,611.4
A000000251,S-6665,A000000193,S-963,708.9
A000000251,S-6665,A000000194,S-965,462.5
