"   ","HOST_EXT_ID","WT_A_1_WGT","WT_A_2_WGT","WT_A_3_WGT","WT_A_4_WGT","WT_A_5_WGT","WT_A_6_WGT","WT_A_7_WGT","WT_F_1_WGT","WT_F_2_WGT","WT_F_3_WGT","WT_F_4_WGT","WT_F_5_WGT","WT_F_6_WGT","WT_F_7_WGT","WT_P_1_WGT","WT_P_2_WGT","WT_P_3_WGT","WT_P_4_WGT","WT_P_5_WGT","WT_P_6_WGT","WT_P_7_WGT","WT_A_1_CUBE","WT_A_2_CUBE","WT_A_3_CUBE","WT_A_4_CUBE","WT_A_5_CUBE","WT_A_6_CUBE","WT_A_7_CUBE","WT_F_1_CUBE","WT_F_2_CUBE","WT_F_3_CUBE","WT_F_4_CUBE","WT_F_5_CUBE","WT_F_6_CUBE","WT_F_7_CUBE","WT_P_1_CUBE","WT_P_2_CUBE","WT_P_3_CUBE","WT_P_4_CUBE","WT_P_5_CUBE","WT_P_6_CUBE","WT_P_7_CUBE"
"1","S-22","0","72153.3656","0","72783.1012","1071.3161","62367.8768","0","0","0","23361.2586","0","20323.9828","0","19933.181","0","4139.146","88955.235","0","82724.9208","0","90477.057","0","4465.7711","0","5110.2612","139.213","4122.697","0","0","0","1787.1379","0","1594.2425","0","1556.625","0","289.0129","6266.7012","0","5859.2121","0","6375.5812"
"2","S-2215","0","283989.5625","0","0","252462.885","0","219930.4288","65464.1046","0","85183.106","0","0","86501.2284","0","185364.0517","234462.0007","0","207382.8851","0","254482.3144","0","0","19570.9274","0","0","15677.1115","0","13554.7572","4837.6144","0","5906.3869","0","0","6367.7041","0","12529.1481","15516.278","0","14180.016","0","16818.6909","0"
"3","S-2220","0","123626.1111","0","96303.7995","0","78931.2971","63265.713","38408.4228","0","0","28039.6479","0","47767.8088","0","85616.2122","125125.1513","0","81283.3619","100848.0383","122440.8858","83969.583","0","8000.1858","0","5910.8645","0","5569.0143","3721.0939","3013.7525","0","0","2152.8816","0","3590.3504","0","6459.8491","8814.7269","0","6600.3344","7694.0979","9143.261","6191.4176"
"4","S-2228","0","0","253241.3796","0","212274.9025","0","257057.4008","69496.7793","0","76198.8603","0","0","77500.5523","0","183506.5858","191229.622","0","185315.7468","0","161733.4055","170238.1456","0","0","17084.296","0","14212.8063","0","16675.6608","5193.1888","0","5659.8577","0","0","5897.9465","0","12540.2109","12935.3357","0","12078.5635","0","11261.1863","12236.2987"
"5","S-2235","0","223094.4006","0","321978.2675","0","174897.2129","221334.1963","81089.0056","0","108626.9344","0","0","106250.4496","0","221302.2883","125227.6948","271490.424","0","349005.3508","0","207367.5578","0","13728.1202","0","22183.5721","0","10492.0038","14489.2023","6107.6547","0","7980.7214","0","0","7666.8439","0","14376.3303","9451.4177","17339.1394","0","22481.8995","0","13982.5362"
"6","S-2274","186187.6588","0","227237.3575","0","226282.4914","0","165419.9729","68123.6327","46317.0903","0","76198.9606","0","92872.8637","0","260234.9782","122300.8015","142693.3304","169652.67","204077.9599","257494.1507","256075.1396","11631.1356","0","15590.328","0","17182.4435","0","11341.3068","5326.7003","3128.6933","0","5486.145","0","6573.8866","0","15313.4464","8780.2757","10213.403","11037.9774","13048.3339","17242.4198","16991.073"
"7","S-61","0","74216.4534","0","60303.0172","0","81414.1027","41627.9703","0","25913.8808","0","18772.3755","0","30035.4765","0","0","75356.8004","0","70883.1972","0","49432.9745","77817.8103","0","4657.6078","0","3697.7638","0","5420.6519","2755.3543","0","1918.4253","0","1456.5642","0","2206.9525","0","0","5721.2035","0","5279.2632","0","3504.2566","5574.6962"
"8","S-6606","0","3961.8219","7503.5748","0","32127.8314","0","29343.5463","0","976.3275","3062.0133","0","20029.373","0","9702.7688","6785.2524","1626.4381","10540.7002","0","10444.9763","0","5575.3062","0","453.0322","560.9992","0","1815.3341","0","1482.5846","0","72.4572","214.9142","0","1610.9096","0","783.4117","419.9311","72.5349","631.3682","0","658.3017","0","340.0534"
"9","S-6612","0","17835.0095","152.6368","21832.8344","0","18759.8396","19380.1315","0","0","4411.8431","0","6052.288","0","6465.2365","14845.6876","23607.7307","6904.9115","23633.4209","0","25215.2814","0","0","1095.2204","8.0422","1595.6703","0","1395.4224","1260.0848","0","0","334.3617","0","452.0318","0","553.4039","1173.4372","1644.0593","426.0793","2008.7248","0","1876.3982","0"
"10","S-6613","22800.6709","42406.0304","13474.2125","29712.519","0","26695.3339","0","0","0","12114.9055","0","12775.7468","0","11425.566","23956.3952","38816.2567","20527.9499","16319.9568","32166.0575","19928.0162","29088.4997","1320.6632","3336.6046","864.319","2032.7542","0","1753.0267","0","0","0","954.1232","0","1011.1565","0","1007.2034","1730.1046","2774.9255","1379.7071","1371.7426","2447.9746","1240.7758","2003.2177"
