"   ","ADR_ID","HOST_EXT_ID","ADRTYP","ADRNAM","ADRLN1","ADRLN2","ADRLN3","ADRCTY","ADRSTC","ADRPSZ","CTRY_NAME","TIM_ZON_CD","PCM_LATITUDE","PCM_LONGITUDE","GEOLOC_NAM","LAT","LNG"
"1","A000000251","S-6665","STR","VILLAGE LANDING","140 ST ALBERT ROAD","#500","","ST ALBERT","AB","T8N7C8","CAN","America/Denver","0533750N","1133718W","AB North","53.621125","-113.611443"
"2","A000000015","S-33","STR","KIMBERLEY","1525 WARREN AVE","","","KIMBERLEY","BC","V1A1R4","CAN","America/Los_Angeles","0494001N","1160017W","BC Kootenays","49.673058","-115.982838"
"3","A000000042","S-910","STR","NEWTON","7320 KING GEORGE HIGHWAY","#100","","SURREY","BC","V3W5A5","CAN","America/Los_Angeles","0490814N","1225044W","BC Lower Mainland","49.136154","-122.844872"
"4","A000000356","S-24","STR","GRAND FORKS","441 CENTRAL","","","GRAND FORKS","BC","V0H1H0","CAN","America/Los_Angeles","0490130N","1182715W","BC Kootenays","49.136013","-118.512783"
"5","A000000134","S-126","STR","WINFIELD","9522 MAIN STREET","#10","","WINFIELD","BC","V4V2L9","CAN","America/Los_Angeles","0500111N","1192459W","BC Interior","50.021169","-119.405165"
"6","A000000139","S-6612","STR","STADIUM","8124 - 112TH AVENUE","","","EDMONTON","AB","T5B4W4","CAN","America/Denver","0533348N","1132812W","AB North","53.562502","-113.466389"
"7","A000000143","S-6619","STR","MAGRATH","14161 - 23RD AVENUE N.W.","","","EDMONTON","AB","T6R0G4","CAN","America/Denver","0532714N","1133343W","AB North","53.453318","-113.563721"
"8","A000000148","S-157","STR","HOPE","559 OLD HOPE PRINCETON HIGHWAY","","","HOPE","BC","V0X1L0","CAN","America/Los_Angeles","0492255N","1212352W","BC Lower Mainland","49.353756","-121.216278"
"9","A000000149","S-160","STR","PORT COQUITLAM","1430 PRAIRIE AVENUE","","","PORT COQUITLAM","BC","V3B5M8","CAN","America/Los_Angeles","0491616N","1224514W","BC Lower Mainland","49.271011","-122.754772"
"10","A000000150","S-165","STR","DEWDNEY","23981 DEWDNEY TRUNK ROAD","","","MAPLE RIDGE","BC","V4R1W1","CAN","America/Los_Angeles","0491314N","1223329W","BC Lower Mainland","49.221185","-122.559657"
"11","A000000155","S-6642","STR","LETHBRIDGE","1112 - 2ND AVENUE ""A"" N.","","","LETHBRIDGE","AB","T1H0E3","CAN","America/Denver","0494206N","1124953W","BC Kootenays","49.701017","-112.83047"
"12","A000000152","S-2204","STR","QUEENSBOROUGH","23200 GILLEY ROAD","#100","","RICHMOND","BC","V6V2L6","CAN","America/Los_Angeles","0491030N","1225805W","BC Lower Mainland","49.1757","-122.967246"
